longitude,latitude,radius,county,risk_category
-118.27492099999999,33.893471999999996,39,Los Angeles,1
-118.828333,35.209167,39,Kern,1
-122.36953700000001,37.820688,39,San Francisco,1
-122.1375,37.371389,39,Santa Clara,1
-117.63338799999998,34.360834000000004,39,San Bernardino,1
-117.09307,33.738058,40,Riverside,1
-124.14888899999998,41.867778,40,Del Norte,1
-122.9025,38.70777800000001,40,Sonoma,1
-116.966944,34.443889,40,San Bernardino,1
-118.822005,34.136925,40,Los Angeles,1
-122.061,37.038000000000004,40,Santa Cruz,1
-118.371706,34.038691,41,Los Angeles,1
-118.460393,33.972411,41,Los Angeles,1
-122.233333,37.816666999999995,42,Alameda,1
-117.189167,34.248333,42,San Bernardino,1
-123.384992,39.032328,43,Mendocino,1
-122.66666699999999,38.299721999999996,43,Sonoma,1
-120.659819,35.301667,43,San Luis Obispo,1
-122.2539,37.4299,43,San Mateo,1
-117.63611000000002,33.746109999999994,43,Orange,1
-122.509146,37.868567999999996,43,Marin,1
-118.456949,34.057291,44,Los Angeles,1
-119.03636000000002,34.218076,44,Ventura,1
-122.202983,37.45118,44,San Mateo,1
-120.58659399999999,38.761292,44,El Dorado,1
-119.419358,36.349117,45,Tulare,1
-120.9532,38.3703,45,Amador,1
-116.62101499999999,32.582877,45,San Diego,1
-117.30130600000001,33.72459,45,Riverside,1
-120.641944,37.981111,46,Calaveras,1
-122.524722,37.948611,46,Marin,1
-118.350807,33.778407,47,Los Angeles,1
-115.33116899999999,33.336559,47,Imperial,1
-120.85,37.05833300000001,47,Merced,1
-118.387153,34.036336,47,Los Angeles,1
-116.58084699999999,34.046955,47,San Bernardino,1
-118.37001000000001,34.310296,47,Los Angeles,1
-121.429152,39.011038,48,Yuba,1
-122.486349,37.546354,48,San Mateo,1
-116.37445600000001,33.722244,48,Riverside,1
-116.613056,32.604721999999995,48,San Diego,1
-117.11805600000001,33.838611,48,Riverside,1
-118.51853,35.63771699999999,49,Kern,1
-118.348176,33.984966,49,Los Angeles,1
-116.35505,33.89124,50,Riverside,1
-117.175,33.745833000000005,50,Riverside,1
-122.53111100000001,38.364444,50,Sonoma,1
-118.76203999999998,36.150892,51,Tulare,1
-122.52753700000001,38.542796,51,Napa,1
-118.560379,34.469938,52,Los Angeles,1
-117.587778,33.595833,52,Orange,1
-117.193611,33.279722,52,San Diego,1
-122.58867099999999,37.987086,52,Marin,1
-122.004981,40.894394,53,Shasta,1
-116.36936899999999,33.70740900000001,54,Riverside,1
-118.19448799999999,35.023790999999996,55,Kern,1
-122.958249,38.425589,55,Sonoma,1
-120.483333,37.3,55,Merced,1
-118.17141699999999,34.625588,56,Los Angeles,1
-118.06040700000001,34.010388,56,Los Angeles,1
-122.5312,37.876045,56,Marin,1
-117.950975,33.96025,56,Los Angeles,1
-120.37888899999999,35.656110999999996,56,San Luis Obispo,1
-121.69583300000001,38.16388900000001,57,Solano,2
-122.896111,38.481667,57,Sonoma,2
-122.485294,37.858934999999995,57,Marin,2
-122.026389,36.971944,58,Santa Cruz,2
-121.01628899999999,39.283254,58,Nevada,2
-118.153557,34.590253000000004,58,Los Angeles,2
-119.00079,34.275027,59,Ventura,2
-122.456667,37.873611,59,Marin,2
-119.286666,36.510523,60,Tulare,2
-119.82248500000001,36.189369,61,Kings,2
-117.82207199999999,33.814006,61,Orange,2
-121.76361100000001,36.92,62,Santa Cruz,2
-122.545156,37.906040999999995,62,Marin,2
-122.29777800000001,37.886944,63,Alameda,2
-122.21112600000001,38.375796,63,Napa,2
-122.3794,37.5741,63,San Mateo,2
-121.935833,37.941111,63,Contra Costa,2
-116.84503000000001,34.261117999999996,63,San Bernardino,2
-118.168371,34.068093,63,Los Angeles,2
-122.826944,38.399167,63,Sonoma,2
-122.55746200000002,37.952244,64,Marin,2
-116.78201000000001,32.6435,65,San Diego,2
-121.9533,36.9752,65,Santa Cruz,2
-120.837598,35.313404999999996,65,San Luis Obispo,2
-121.580872,39.799577,65,Butte,2
-120.84999199999999,35.365944,66,San Luis Obispo,2
-119.96000500000001,36.008623,66,Kings,2
-116.911422,34.243896,66,San Bernardino,2
-120.64805600000001,35.148333,66,San Luis Obispo,2
-122.47899,41.896083000000004,67,Siskiyou,2
-116.76638899999999,33.909167,67,Riverside,2
-121.94555600000001,36.986944,67,Santa Cruz,2
-118.330502,33.911054,67,Los Angeles,2
-117.61138899999999,33.875833,67,Riverside,2
-122.0147,37.0511,68,Santa Cruz,2
-120.01717,36.802306,68,Fresno,2
-117.650052,34.429272,68,San Bernardino,2
-123.82361100000001,40.234722,69,Humboldt,2
-120.932778,38.352778,69,Amador,2
-118.91416699999999,35.259722,69,Kern,2
-118.079722,33.788889000000005,70,Orange,2
-117.72511599999999,33.610170000000004,70,Orange,2
-122.45614099999999,37.873571999999996,71,Marin,2
-122.46818999999999,38.50624000000001,71,Napa,2
-122.075278,37.983610999999996,73,Contra Costa,2
-116.44053799999999,33.921539,74,Riverside,2
-118.02591699999999,34.003624,75,Los Angeles,2
-117.258008,32.993843,75,San Diego,2
-120.86666699999999,38.1,76,Calaveras,2
-114.619621,34.806179,76,San Bernardino,2
-121.13156200000002,39.106203,76,Nevada,2
-117.324444,34.743889,76,San Bernardino,2
-117.61,33.6,76,Orange,2
-117.07666699999999,33.365278,77,San Diego,2
-122.129722,37.835,78,Contra Costa,2
-119.34429399999999,36.206855,78,Tulare,2
-118.359629,34.254439,78,Los Angeles,2
-117.963631,34.112113,78,Los Angeles,2
-118.218433,33.858301000000004,79,Los Angeles,2
-118.25198600000002,34.068331,79,Los Angeles,2
-118.349778,34.026624,79,Los Angeles,2
-118.37229599999999,33.922831,79,Los Angeles,2
-118.302255,33.740218,80,Los Angeles,2
-118.447659,33.976535,80,Los Angeles,2
-119.30176999999999,34.398565999999995,80,Ventura,2
-119.2077,36.297669,81,Tulare,2
-122.79148,38.94307,83,Lake,2
-118.21613799999999,34.481365999999994,83,Los Angeles,2
-118.839304,34.172478000000005,83,Ventura,2
-120.698,35.325,84,San Luis Obispo,2
-117.204198,33.019952,85,San Diego,2
-118.05033200000001,34.168709,85,Los Angeles,2
-115.693904,32.790838,86,Imperial,2
-119.533971,36.49031,87,Tulare,2
-118.082551,34.161732,88,Los Angeles,2
-117.285599,34.241951,88,San Bernardino,2
-118.003247,34.123033,89,Los Angeles,2
-118.76201,34.183095,91,Ventura,2
-123.817676,39.738402,91,Mendocino,2
-117.97807,34.531079,92,Los Angeles,2
-122.45423999999998,40.581378,92,Shasta,2
-118.42911399999998,34.036458,93,Los Angeles,2
-119.70956699999999,35.63376500000001,93,Kern,2
-118.334892,34.043401,95,Los Angeles,2
-118.408801,34.041277,95,Los Angeles,2
-122.56166699999999,37.974403,95,Marin,2
-118.11323700000001,34.122367,96,Los Angeles,2
-116.977248,33.972515,97,Riverside,2
-118.017067,34.108069,97,Los Angeles,2
-118.81376499999999,36.696332,98,Tulare,2
-119.17770800000001,34.196119,98,Ventura,2
-122.408584,37.792016,98,San Francisco,2
-116.33874899999999,34.126721,99,San Bernardino,2
-116.05416699999999,34.135556,99,San Bernardino,2
-118.027068,34.041949,100,Los Angeles,2
-116.87723700000001,32.718851,101,San Diego,2
-122.39306699999999,37.789649,101,San Francisco,2
-119.310278,36.059166999999995,101,Tulare,2
-122.285278,37.831389,102,Alameda,2
-121.557993,39.020684,102,Yuba,2
-118.673426,34.444032,103,Los Angeles,2
-117.994826,33.927445,103,Los Angeles,2
-118.795,34.427197,103,Ventura,2
-116.2125,33.6225,104,Riverside,2
-119.202499,36.55023,104,Tulare,2
-118.460296,34.098692,106,Los Angeles,2
-122.38701100000002,37.769892999999996,106,San Francisco,2
-117.897777,34.534363,106,Los Angeles,2
-118.37406200000001,33.997128000000004,109,Los Angeles,2
-122.528263,37.925496,111,Marin,2
-118.397292,33.787212,111,Los Angeles,2
-123.70833300000001,41.188056,111,Humboldt,2
-118.240334,34.078256,111,Los Angeles,2
-123.71416699999999,39.865833,112,Mendocino,2
-118.784201,34.036840000000005,112,Los Angeles,2
-120.99166699999999,37.791667,113,San Joaquin,2
-119.487567,35.42838,115,Kern,2
-118.75041,34.271008,116,Ventura,2
-122.709167,38.327778,118,Sonoma,2
-118.260993,33.898562,118,Los Angeles,2
-122.266944,38.033056,118,Contra Costa,2
-123.017222,38.799167,119,Sonoma,2
-117.368333,33.825,119,Riverside,2
-120.77416699999999,38.348889,119,Amador,2
-118.35767299999999,34.15055,120,Los Angeles,2
-119.47438000000001,35.418624,120,Kern,2
-122.45720700000001,37.736027,121,San Francisco,2
-121.9075,36.981389,122,Santa Cruz,2
-117.984485,33.922235,122,Los Angeles,2
-118.343548,34.036097,122,Los Angeles,2
-122.31166699999999,37.915833,122,Contra Costa,2
-118.241598,34.046994,122,Los Angeles,2
-117.27683400000001,33.692301,123,Riverside,2
-122.03222199999999,37.850278,124,Contra Costa,2
-121.600278,37.908611,124,Contra Costa,2
-124.2,41.75,126,Del Norte,2
-122.298851,40.42948300000001,127,Shasta,2
-122.179722,37.882778,129,Contra Costa,2
-117.879958,35.16675,130,Kern,2
-118.8,36.23,130,Tulare,2
-118.355627,34.069731,131,Los Angeles,2
-122.0975,37.368056,131,Santa Clara,2
-122.019444,37.2725,131,Santa Clara,2
-117.98700000000001,33.7447,132,Orange,2
-119.078949,36.210707,133,Tulare,2
-119.483976,36.444593,133,Tulare,2
-117.670833,35.6225,133,Kern,2
-118.74091200000001,34.087782000000004,134,Los Angeles,2
-119.68668600000001,36.433282,134,Fresno,2
-117.11333300000001,33.741944000000004,134,Riverside,2
-118.374921,34.056936,135,Los Angeles,2
-120.61138899999999,35.102778,136,San Luis Obispo,2
-118.419399,34.052715,137,Los Angeles,2
-116.791972,32.844066999999995,137,San Diego,2
-121.97083300000001,38.525,138,Yolo,2
-120.706005,35.549694,139,San Luis Obispo,2
-122.27106,37.554947999999996,139,San Mateo,2
-118.33349199999999,34.035815,139,Los Angeles,2
-119.10666699999999,35.796667,140,Tulare,2
-118.365742,33.90952,140,Los Angeles,2
-118.402004,33.916897999999996,141,Los Angeles,2
-118.381794,34.042513,141,Los Angeles,2
