name,x,y,county,ordinal_cat,COVID-19 danger
Shell,-122.19586170000001,37.4239446,San Mateo,1,Low Risk
Unknown Name,-122.3792687,37.6045821,San Mateo,1,Low Risk
7-Eleven,-122.4775503,37.6597649,San Mateo,1,Low Risk
Unknown Name,-121.7590362,38.5603759,Yolo,2,Mild Risk
Chevron,-121.4056348,38.409488399999994,Sacramento,3,Medium Risk
Shell,-122.6453578,38.23421679999999,Sonoma,2,Mild Risk
Arco,-121.6665263,36.7919869,Monterey,3,Medium Risk
Chevron,-121.6684403,36.791464500000004,Monterey,3,Medium Risk
Golden Gate Gasoline,-121.7499189,36.9048143,Santa Cruz,2,Mild Risk
Shell,-122.02546299999999,37.0427054,Santa Cruz,2,Mild Risk
Shell,-122.02466770000001,37.04308020000001,Santa Cruz,2,Mild Risk
Arco,-121.3134594,38.7720282,Sacramento,3,Medium Risk
Shell,-122.20821229999999,39.7520979,Butte,3,Medium Risk
Unknown Name,-119.22060649999999,34.19716470000001,Ventura,3,Medium Risk
Unknown Name,-119.2205828,34.19802,Ventura,3,Medium Risk
Chevron,-121.4285517,38.2257428,Sacramento,3,Medium Risk
Shell,-121.394186,38.1150084,Contra Costa,2,Mild Risk
76,-121.3939446,38.113974299999995,Contra Costa,2,Mild Risk
76,-121.2813162,37.89638520000001,San Joaquin,3,Medium Risk
Unknown Name,-121.27676770000001,37.854446,San Joaquin,3,Medium Risk
Chevron,-121.28764650000001,37.82599520000001,San Joaquin,3,Medium Risk
Chevron,-121.26576809999999,37.54037720000001,San Joaquin,3,Medium Risk
Shell,-121.93991709999999,37.293803999999994,Santa Clara,3,Medium Risk
Unknown Name,-117.24046000000001,32.7975026,San Diego,3,Medium Risk
Unknown Name,-117.24058020000001,32.7981591,San Diego,3,Medium Risk
Unknown Name,-121.9964963,37.3871918,Santa Clara,3,Medium Risk
Mobil,-118.31766329999999,34.098392100000005,Los Angeles,3,Medium Risk
Unknown Name,-117.1227178,33.1309165,San Diego,3,Medium Risk
Safeway,-121.90856129999999,36.9794556,Santa Cruz,2,Mild Risk
Chevron,-121.90798240000001,36.9798223,Santa Cruz,2,Mild Risk
Chevron,-121.9360122,36.9893427,Santa Cruz,2,Mild Risk
76,-121.91221100000001,36.9754955,Santa Cruz,2,Mild Risk
Mega Fuel,-117.1633923,32.8322424,San Diego,3,Medium Risk
Chevron,-117.1641906,32.832992499999996,San Diego,3,Medium Risk
Chevron,-116.7804301,32.8416212,San Diego,3,Medium Risk
Shell,-122.193075,37.402933399999995,San Mateo,1,Low Risk
Unknown Name,-117.05644140000001,33.9929959,San Bernardino,1,Low Risk
Unknown Name,-117.05758290000001,33.993615000000005,San Bernardino,1,Low Risk
Shell,-117.0569284,33.9935429,San Bernardino,1,Low Risk
Fastrip,-117.0626914,34.0043308,San Bernardino,1,Low Risk
Shell,-121.8737261,37.373937299999994,Santa Clara,3,Medium Risk
Chevron,-121.87305659999998,37.3745785,Santa Clara,3,Medium Risk
Chevron,-121.84306809999998,37.3695588,Santa Clara,3,Medium Risk
76,-121.8437814,37.3702295,Santa Clara,3,Medium Risk
Chevron,-121.8263274,37.35088820000001,Santa Clara,3,Medium Risk
Arco,-121.8581834,37.66908239999999,Alameda,3,Medium Risk
Arco,-117.0315412,32.660822499999995,San Diego,3,Medium Risk
Unknown Name,-117.01984750000001,32.6718866,San Diego,3,Medium Risk
AM/PM,-121.8906817,37.2595325,Santa Clara,3,Medium Risk
Chevron,-121.897737,37.25526970000001,Santa Clara,3,Medium Risk
76,-117.185999,32.8772278,San Diego,3,Medium Risk
Shell,-118.26104209999998,34.043034399999996,Los Angeles,3,Medium Risk
Mash Gas and Food,-122.2074539,37.823071999999996,Alameda,3,Medium Risk
Unknown Name,-121.8824231,39.7423375,Butte,3,Medium Risk
Unknown Name,-121.8316199,39.7243165,Butte,3,Medium Risk
Unknown Name,-121.8223158,39.7347461,Butte,3,Medium Risk
Shell,-121.7728477,36.9350467,Santa Cruz,2,Mild Risk
Unknown Name,-121.77399129999999,36.934766499999995,Santa Cruz,2,Mild Risk
Valero,-121.7701646,36.9318736,Santa Cruz,2,Mild Risk
76,-122.0322961,37.259503,Santa Clara,3,Medium Risk
Unknown Name,-121.8964878,37.657928999999996,Alameda,3,Medium Risk
Unknown Name,-122.20140420000001,37.4314894,San Mateo,1,Low Risk
Shell,-118.8759938,34.17880039999999,Ventura,3,Medium Risk
Alliance,-118.8756578,34.1809404,Ventura,3,Medium Risk
Arco,-118.8745876,34.1868,Ventura,3,Medium Risk
Shell,-121.9854845,37.526043,Alameda,3,Medium Risk
