date,county,fips,place,confirmed_cases,note,x,y,log_cases,category,ordinal_cat,alpha
2020-10-25,San Bernardino,71.0,Cedar Glen,7,,-117.165,34.253889,1.9459101490553128,0,0,224.45492278228195
2020-10-25,Kern,29.0,93205: Bodfish,7,,-118.508875,35.568923999999996,1.9459101490553128,0,0,75.59576812014902
2020-10-25,San Bernardino,71.0,Hinkley,7,,-117.2,34.933333000000005,1.9459101490553128,0,0,50.66194047209106
2020-10-25,Los Angeles,37.0,Unincorporated - El Monte,7,,-118.06045400000001,34.063425,1.9459101490553128,0,0,706.7698772623877
2020-10-25,Los Angeles,37.0,Sand Canyon,7,,-118.40264199999999,34.400323,1.9459101490553128,0,0,198.13376204594914
2020-10-24,Mono,51.0,South County Region,7,,-118.68111100000002,37.561389,1.9459101490553128,0,0,32.84741904010562
2020-04-21,Ventura,111.0,Santa Paula,7,,-119.061497,34.353092,1.9459101490553128,0,0,498.9586984563754
2020-10-25,San Diego,73.0,Pine Valley,7,,-116.52666699999999,32.828056,1.9459101490553128,0,0,61.89532510526844
2020-10-25,Los Angeles,37.0,Sycamore Square,7,,-118.343701,34.058007,1.9459101490553128,0,0,1188.9974438269032
2020-04-20,Ventura,111.0,Newbury Park,7,,-118.90708899999998,34.18054,1.9459101490553128,0,0,364.25175677383936
2020-04-21,Ventura,111.0,Port Hueneme,7,,-119.221251,34.159362,1.9459101490553128,0,0,530.4365097473905
2020-10-25,Los Angeles,37.0,Elizabeth Lake,8,,-118.386954,34.674457000000004,2.079441541679836,1,1,97.94975493165202
2020-04-12,San Bernardino,71.0,Alta Loma,8,,-117.59810900000001,34.122232000000004,2.079441541679836,1,1,730.4039457538125
2020-10-23,Napa,55.0,Pope Valley Area,8,,-122.41662600000001,38.679328999999996,2.079441541679836,1,1,49.995919260734595
2020-10-25,Los Angeles,37.0,Hi Vista,8,,-117.755031,34.689335,2.079441541679836,1,1,48.185361207915726
2020-10-25,San Bernardino,71.0,Forest Falls,8,,-116.920278,34.088333,2.079441541679836,1,1,87.20258410014964
2020-10-25,Los Angeles,37.0,Unincorporated - La Habra Heights,8,,-117.95931100000001,33.947844,2.079441541679836,1,1,731.7852416591755
2020-10-25,Kern,29.0,93516: Boron,9,,-117.670056,35.018887,2.19722457733622,1,1,33.22794326450005
2020-10-23,San Luis Obispo,79.0,Avila,9,,-120.72083300000001,35.199166999999996,2.19722457733622,1,1,138.952681755055
2020-10-25,Plumas,63.0,Northern area,9,,-120.95138899999999,40.14,2.19722457733622,1,1,13.808678775907426
2020-04-21,Ventura,111.0,Fillmore,9,,-118.93311200000001,34.401069,2.19722457733622,1,1,662.715102697336
2020-10-25,Los Angeles,37.0,Westhills,9,,-118.661948,34.192708,2.19722457733622,1,1,341.9372110825366
2020-10-22,Del Norte,15.0,Hiouchi-Gasquet-Big Flat,9,,-124.07194399999999,41.7925,2.19722457733622,1,1,76.79007830388645
2020-10-25,Los Angeles,37.0,Westfield/Academy Hills,9,,-118.356806,33.776376,2.19722457733622,1,1,816.4473358083222
2020-10-25,Kern,29.0,93527: Inyokern,9,,-117.80511299999999,35.640156,2.19722457733622,1,1,44.21993252114865
2020-10-25,San Diego,73.0,Boulevard,9,,-116.286294,32.663632,2.19722457733622,1,1,31.211844461621997
2020-06-16,Marin,41.0,Lucas Valley-Marinwood,10,,-122.565905,38.035712,2.302585092994046,1,1,481.96169214699603
2020-10-25,Kern,29.0,93283: Weldon,10,,-118.384148,35.64363200000001,2.302585092994046,1,1,48.18547998833459
2020-10-25,San Bernardino,71.0,Newberry Springs,10,,-116.6875,34.827778,2.302585092994046,1,1,34.66174608344425
2020-10-25,Los Angeles,37.0,Bouquet Canyon,10,,-118.36339199999999,34.595496999999995,2.302585092994046,1,1,91.37283741954673
2020-05-06,Kern,29.0,Lost Hills,10,,-119.694167,35.616389,2.302585092994046,1,1,237.73099814452397
2020-10-25,San Diego,73.0,Descanso,11,,-116.61583300000001,32.852778,2.3978952727983707,1,1,65.34336239689051
2020-10-23,Sonoma,97.0,Bodega Bay,11,,-123.03861100000002,38.324444,2.3978952727983707,1,1,31.020485886757275
2020-10-07,Long Beach,,90840: Long Beach,11,,-118.12008200000001,33.781865,2.3978952727983707,1,1,859.3258275578313
2020-10-25,Los Angeles,37.0,Saugus/Canyon Country,11,,-118.430213,34.47789,2.3978952727983707,1,1,316.8366661965564
2020-10-25,Los Angeles,37.0,San Pasqual,11,,-118.10253300000001,34.139229,2.3978952727983707,1,1,556.7025661991042
2020-10-23,Fresno,19.0,Prather,11,,-119.51388899999999,37.0375,2.3978952727983707,1,1,70.28557116216176
2020-10-25,San Diego,73.0,Santa Ysabel,12,,-116.673979,33.108888,2.4849066497880004,1,1,58.528810942183924
2020-04-02,Orange,59.0,Corona Del Mar,12,,-117.90075900000001,33.602251,2.4849066497880004,1,1,362.2377693175889
2020-10-25,Alameda,1.0,Sunol,12,,-121.88861100000001,37.594444,2.4849066497880004,1,1,205.74787001542802
2020-10-25,San Bernardino,71.0,Landers,12,,-116.392222,34.266110999999995,2.4849066497880004,1,1,70.58160362635944
2020-10-25,San Bernardino,71.0,Twin Peaks,12,,-117.23361100000001,34.238889,2.4849066497880004,1,1,353.591329880397
2020-10-25,Los Angeles,37.0,Rolling Hills,12,,-118.347168,33.760022,2.4849066497880004,1,1,663.7121603575604
2020-04-21,Ventura,111.0,Oak Park,12,,-118.759551,34.174226000000004,2.4849066497880004,1,1,771.1534904329376
2020-10-25,Los Angeles,37.0,Vernon,13,,-118.21058300000001,34.001902,2.5649493574615367,1,1,819.0351965184733
2020-10-23,Napa,55.0,Angwin,13,,-122.44998799999999,38.57722800000001,2.5649493574615367,1,1,127.21729077504486
2020-10-23,Napa,55.0,West Napa and Yountville Area,13,,-122.38077,38.363302000000004,2.5649493574615367,1,1,238.86294095296284
2020-06-09,Tulare,107.0,Strathmore,13,,-119.059692,36.144890000000004,2.5649493574615367,1,1,166.6957590063506
2020-09-16,Napa,55.0,Town of Yountville,13,,-122.36711000000001,38.396425,2.5649493574615367,1,1,118.01840624521057
2020-10-23,San Mateo,81.0,Montara,13,,-122.51181499999998,37.540905,2.5649493574615367,1,1,276.19622700736915
2020-10-23,Nevada,57.0,95975,13,,-121.148416,39.229085999999995,2.5649493574615367,1,1,161.71703963549737
2020-10-23,Marin,41.0,Sleepy Hollow,13,,-122.588172,38.01005900000001,2.5649493574615367,1,1,391.799662005725
2020-10-25,San Bernardino,71.0,Baker,14,,-116.06583300000001,35.275833,2.6390573296152584,1,1,7.263965918188003
2020-10-25,Tulare,107.0,Orosi: 93654,14,,-119.394714,36.64647,2.6390573296152584,1,1,189.68460129636364
