name,longitude,latitude
,-122.0232071,37.3348357
Shell,-121.9658959,37.5370802
C&R,-117.1752394,32.8340941
Arco,-117.122514,32.755645
76,-117.1260583,32.7556171
Shell,-122.2442463,37.8192124
76,-122.2908563,37.8513679
Chevron,-122.277937,37.8259274
,-122.2952911,37.8386541
Chevron,-121.2702017,38.7489257
,-119.0093182,34.2114567
,-119.0055792,34.2166159
Chevron,-121.9610205,37.2633894
Superior Car Wash & Detail Center,-117.9324126,33.6279324
,-119.0186672,34.231182
,-117.9305748,33.6173713
Circle K,-118.0628313,33.7119792
,-118.121994,33.7751055
Alliance Gas,-121.8630164,36.5963438
,-118.2031725,33.8745344
,-118.1861502,33.8809862
Chevron,-121.327342,38.649438
,-118.1982942,33.7755663
Chevron,-121.7923679,36.6837821
,-118.1933586,33.790155
,-118.1889372,33.7895803
,-118.1978433,33.7901403
,-121.330233,38.648166
Shell,-121.2688449,38.6150645
Chevron,-121.2694536,38.615804
Chevron,-122.4645136,37.6637126
,-122.0348847,37.6187226
Berri Brothers,-118.0741563,33.7206475
,-117.7849879,33.5428122
,-124.1147309,40.9565448
Chevron,-121.889072,40.4923951
,-118.0812468,34.0110129
Chevron,-118.1308157,34.0369958
,-118.1338073,34.0219969
,-118.1336001,34.0225562
Chevron,-117.6670813,33.6825054
Shell,-122.2275375,38.1238178
,-118.1226438,34.0695116
,-118.1228341,34.0858508
Mobil,-118.0820987,34.0404232
,-118.0639483,34.0520505
,-118.0646934,34.0515189
,-118.0731015,34.0986689
,-118.0651484,34.0629899
,-119.0191135,35.4216109
,-122.2539886,37.8201843
,-122.2535419,37.8194483
Arco,-117.5752466,34.0341814
,-117.5752129,34.0328191
,-118.1255289,33.8781757
,-118.1249898,33.8781913
Costco Gasoline,-121.1081642,38.6443307
Chevron,-123.3516143,39.404429
ARCO,-123.3518111,39.4038309
,-123.3548055,39.4151079
,-123.3550201,39.4185394
,-117.1036781,32.8297697
Mobil,-118.2795535,34.0783324
Arco,-121.9952515,37.3457515
Valero,-122.3099753,37.9008877
Chevron,-122.0146902,37.3518388
,-117.6997168,33.4671857
Mobil,-117.6462792,33.5635182
,-117.6314802,33.5831561
AMPM Gas & Minimart,-117.1233022,32.7483149
Econo,-122.4411575,37.6185538
Chevron,-117.8753187,33.6614957
Shell,-117.7518202,34.0732679
Chevron,-117.7526633,34.072927
76 Union,-121.7516186,36.760716
Chevron,-121.056527,38.9229658
,-121.0562883,38.9235899
,-118.0081842,34.0311202
Laguna Hills Car Wash,-117.6916949,33.6023925
,-117.7170088,33.5272806
,-117.7237153,33.5582926
,-117.7245455,33.6100157
Chevron,-117.0664807,33.0680042
,-118.0998282,34.0751258
Shell,-117.2309984,32.9373868
,-117.4528207,33.7463996
Alliance,-122.360277,37.1656293
,-117.83775,33.855871
,-117.8154952,33.8531494
,-117.522421,33.8360035
Shell,-117.4867725,33.7786366
Mobil,-114.6247154,34.8511774
Quik-Stop,-121.4215533,36.8533105
,-122.5154627,37.9389489
,-117.5398146,33.8677808
USA Gasoline,-117.247565,32.7450916
Arco,-117.3666472,33.6840393
Chevron,-117.6629661,33.4977509
Shelter Cove General Store Gas,-124.0520752,40.036551
,-119.1342533,36.1368688
Shell,-119.0535163,35.8940378
Shell,-118.4748244,35.6264395
Chevron,-117.541085,34.9924643
Arco,-117.5374287,34.9916674
,-117.4087682,34.5723404
,-117.3982866,34.5354214
Arco,-117.3996667,34.4104997
Chevron,-115.7201089,33.6608358
Shell,-117.178173,33.5738112
Shell,-114.6059148,33.6081592
,-118.4072623,33.7491363
7-Eleven,-117.0930052,33.4819424
76,-116.8864871,34.9040694
Arco,-119.0384916,35.368242
Chevron,-119.2662853,35.8738985
Shell,-119.3827751,36.296585
Shell,-119.4841589,36.4457037
Valero,-119.5165055,36.4894029
Arco,-121.294133,37.8122423
American Gas - Mini Mart,-118.0507293,34.0988332
Baldwin Gas & Food Mart,-118.0485115,34.0904634
,-118.0534304,34.0745997
,-118.0420016,34.068038
,-118.0494964,34.0408761
,-118.0785747,34.0166542
,-118.0842166,34.0018481
,-118.0900256,33.992506
Shell,-121.6158371,36.6467476
Valero,-121.6280981,36.6679611
,-118.126317,33.9983562
,-118.1231668,33.9970351
,-118.1242362,33.9967604
,-118.5180594,34.0276191
Shell,-122.4637864,37.6636228
,-122.4368182,37.6301352
,-122.4363728,37.6303304
,-118.743722,34.0332138
Chevron,-118.843764,34.0316858
Quick Stop,-121.7435557,36.9363696
,-119.1602761,34.1965346
,-119.1596353,34.17374
,-121.788044,36.9410397
Mobil,-119.157837,34.2224569
7-Eleven,-122.2510011,37.8276464
,-119.2609533,34.2727885
Chevron,-119.248239,34.2732782
,-119.2667891,34.2733888
Shell,-118.2914678,34.1007151
,-119.2943778,34.2785003
Chevron,-118.0577893,36.5841888
,-119.3000897,34.4004116
Thrifty Gas Station,-119.300029,34.3983342
,-119.2894544,34.4226352
,-122.4287862,37.6230403
Mobil,-116.6798033,33.5546865
Pala Gas Station,-117.0871243,33.3642103
,-118.1628772,34.8639791
Costco Gasoline,-117.2756667,33.1878613
Arco,-117.4877757,33.7746325
Rotten Robbie,-121.8467905,37.4003521
Chevron,-121.7970997,37.3245861
76,-121.7922078,37.3142808
ARCO Fuel Station,-121.9628889,37.5099573
Chevron,-121.9627722,37.5083902
,-117.2160868,33.1664139
,-117.6702927,35.6245014
Valero,-117.3488605,34.4699425
Casa de Fruta Chevron,-121.3811091,36.9904901
Mobil,-118.3390286,34.0903231
Chevron,-118.344445,34.0832007
76,-118.3442907,34.0647105
Chevron,-118.3443337,34.0764172
Chevron,-118.3437355,34.0759395
Texaco,-117.6325069,35.371712
