date,county,fips,place,confirmed_cases,note,x,y,log_cases,category,ordinal_cat
2020-04-21,Ventura,111.0,Piru,3,,-118.793982,34.415274,1.0986122886681098,0,0
2020-10-23,Napa,55.0,Deer Park,3,,-122.467043,38.536308,1.0986122886681098,0,0
2020-10-23,Imperial,25.0,92259,3,,-115.994099,32.686531,1.0986122886681098,0,0
2020-10-25,Kern,29.0,93220: Edison,3,,-118.875922,35.3464,1.0986122886681098,0,0
2020-04-20,Ventura,111.0,Lake Sherwood,3,,-118.869875,34.143531,1.0986122886681098,0,0
2020-10-25,Los Angeles,37.0,Palos Verdes Peninsula,3,,-118.344627,33.78358,1.0986122886681098,0,0
2020-10-25,San Bernardino,71.0,Oak Glen,3,,-116.949444,34.045,1.0986122886681098,0,0
2020-06-23,Calaveras,9.0,San Andreas,3,,-120.67673899999998,38.191886,1.0986122886681098,0,0
2020-10-25,San Bernardino,71.0,Fawnskin,3,,-116.94718600000002,34.267411,1.0986122886681098,0,0
2020-10-25,Los Angeles,37.0,Padua Hills,3,,-117.70358799999998,34.144344,1.0986122886681098,0,0
2020-10-25,San Bernardino,71.0,Angelus Oaks,3,,-116.9825,34.145833,1.0986122886681098,0,0
2020-04-20,Ventura,111.0,Santa Rosa Valley,3,,-118.934383,34.234796,1.0986122886681098,0,0
2020-10-25,Los Angeles,37.0,Unincorporated - Del Rey,3,,-118.412269,33.982584,1.0986122886681098,0,0
2020-10-25,Los Angeles,37.0,Whittier Narrows,3,,-118.061967,34.033775,1.0986122886681098,0,0
2020-05-06,Kern,29.0,California City,3,,-117.985833,35.125833,1.0986122886681098,0,0
2020-10-25,Los Angeles,37.0,Llano,3,,-117.744875,34.49129,1.0986122886681098,0,0
2020-10-25,Kern,29.0,93224: Fellows,3,,-119.556497,35.178493,1.0986122886681098,0,0
2020-06-23,Calaveras,9.0,West Point,4,,-120.5275,38.399167,1.3862943611198906,0,0
2020-10-23,Ventura,111.0,91307 – Bell Canyon,4,,-118.6875,34.208056,1.3862943611198906,0,0
2020-03-25,Los Angeles,37.0,Florence,4,,-118.269,33.974540000000005,1.3862943611198906,0,0
2020-10-25,Tulare,107.0,Traver: 93646,4,,-119.301801,36.631989,1.3862943611198906,0,0
2020-10-23,Napa,55.0,North Calistoga,4,,-122.574599,38.623392,1.3862943611198906,0,0
2020-10-25,Los Angeles,37.0,Unincorporated - Bradbury,4,,-117.967764,34.145326000000004,1.3862943611198906,0,0
2020-10-23,Lake,33.0,95426,4,,-122.71384,38.83313,1.3862943611198906,0,0
2020-10-23,Lake,33.0,95435,4,,-122.8746,39.0027,1.3862943611198906,0,0
2020-10-25,Los Angeles,37.0,East Covina,4,,-117.835314,34.088091,1.3862943611198906,0,0
2020-10-23,Lake,33.0,95424,4,,-122.66557,38.97039,1.3862943611198906,0,0
2020-10-25,San Bernardino,71.0,Rimforest,4,,-117.225666,34.22955,1.3862943611198906,0,0
2020-10-25,Los Angeles,37.0,Brookside,5,,-118.336327,34.058936,1.6094379124341003,0,0
2020-10-25,Tulare,107.0,"Corcoran, Angiola: 93212",5,,-119.496497,36.04429,1.6094379124341003,0,0
2020-08-25,Mono,51.0,South,5,,-118.68111100000002,37.561389,1.6094379124341003,0,0
2020-04-21,Ventura,111.0,Ojai,5,,-119.246813,34.447717,1.6094379124341003,0,0
2020-06-23,Calaveras,9.0,Copperopolis,5,,-120.641944,37.981111,1.6094379124341003,0,0
2020-10-25,Los Angeles,37.0,Lake Hughes,5,,-118.429088,34.661878,1.6094379124341003,0,0
2020-04-11,San Diego,73.0,Solana,5,,-117.260278,32.995278000000006,1.6094379124341003,0,0
2020-05-06,Kern,29.0,Frazier Park,5,,-118.944722,34.822778,1.6094379124341003,0,0
2020-10-25,Los Angeles,37.0,Avalon,5,,-118.331354,33.333921000000004,1.6094379124341003,0,0
2020-06-25,Fresno,19.0,Tranquility,6,,-120.252068,36.64803,1.791759469228055,0,0
2020-10-25,Los Angeles,37.0,South Antelope Valley,6,,-118.084149,34.498971999999995,1.791759469228055,0,0
2020-07-06,Tulare,107.0,Mountain,6,,-118.523116,36.303085,1.791759469228055,0,0
2020-05-06,Kern,29.0,Mc Farland,6,,-119.229167,35.678056,1.791759469228055,0,0
2020-10-23,San Luis Obispo,79.0,San Simeon,6,,-121.189722,35.643889,1.791759469228055,0,0
2020-10-23,Imperial,25.0,92266,6,,-114.951687,33.334267,1.791759469228055,0,0
2020-10-23,Fresno,19.0,Dunlap,6,,-119.120898,36.737991,1.791759469228055,0,0
2020-05-04,Kern,29.0,McFarland,6,,-119.229167,35.678056,1.791759469228055,0,0
2020-10-25,Kern,29.0,93531: Keene,6,,-118.562992,35.219588,1.791759469228055,0,0
2020-10-25,Kern,29.0,93222: Pine Mountain Club,6,,-119.206571,34.843183,1.791759469228055,0,0
2020-10-25,Los Angeles,37.0,West Antelope Valley,6,,-118.580785,34.760448,1.791759469228055,0,0
2020-10-23,Amador,5.0,Volcano,6,,-120.562377,38.409966,1.791759469228055,0,0
2020-10-25,Los Angeles,37.0,Unincorporated - Angeles National Forest,6,,-118.000747,34.323635,1.791759469228055,0,0
2020-10-25,San Bernardino,71.0,Cedar Glen,7,,-117.165,34.253889,1.9459101490553132,0,0
2020-10-25,Kern,29.0,93205: Bodfish,7,,-118.508875,35.568924,1.9459101490553132,0,0
2020-10-25,San Bernardino,71.0,Hinkley,7,,-117.2,34.933333000000005,1.9459101490553132,0,0
2020-10-25,Los Angeles,37.0,Unincorporated - El Monte,7,,-118.060454,34.063425,1.9459101490553132,0,0
2020-10-25,Los Angeles,37.0,Sand Canyon,7,,-118.402642,34.400323,1.9459101490553132,0,0
2020-10-24,Mono,51.0,South County Region,7,,-118.68111100000002,37.561389,1.9459101490553132,0,0
2020-04-21,Ventura,111.0,Santa Paula,7,,-119.061497,34.353092,1.9459101490553132,0,0
2020-10-25,San Diego,73.0,Pine Valley,7,,-116.526667,32.828056,1.9459101490553132,0,0
2020-10-25,Los Angeles,37.0,Sycamore Square,7,,-118.343701,34.058007,1.9459101490553132,0,0
2020-04-20,Ventura,111.0,Newbury Park,7,,-118.90708899999998,34.18054,1.9459101490553132,0,0
2020-04-21,Ventura,111.0,Port Hueneme,7,,-119.221251,34.159362,1.9459101490553132,0,0
2020-10-25,Los Angeles,37.0,Elizabeth Lake,8,,-118.386954,34.674457000000004,2.0794415416798357,1,1
2020-04-12,San Bernardino,71.0,Alta Loma,8,,-117.598109,34.122232000000004,2.0794415416798357,1,1
2020-10-23,Napa,55.0,Pope Valley Area,8,,-122.416626,38.679329,2.0794415416798357,1,1
2020-10-25,Los Angeles,37.0,Hi Vista,8,,-117.755031,34.689335,2.0794415416798357,1,1
2020-10-25,San Bernardino,71.0,Forest Falls,8,,-116.920278,34.088333,2.0794415416798357,1,1
2020-10-25,Los Angeles,37.0,Unincorporated - La Habra Heights,8,,-117.959311,33.947844,2.0794415416798357,1,1
2020-10-25,Kern,29.0,93516: Boron,9,,-117.670056,35.018887,2.1972245773362196,1,1
